,THR045,THR046,THR047,THR053,THR003,THR018,THR019,THR034,THR100,THR101,THR102,THR103,THR104,THR107,THR110,THR118_1,THR524,THR525,THR529,THR530,THR532,THR534,THR535,THR542,THR020,THR021,THR023,THR106,THR500,THR111,THR522,THR117,THR025,THR523,THR027,THR120,THR526,THR028,THR124,THR527,THR029,THR030_1,THR125,THR031_1,THR528_1,THR126_1,THR127_1,THR536_1,THR032,THR033,THR537,THR128,THR129,THR538,THR130,THR035,THR011_1,THR539,THR026,THR131,THR132,THR036,THR037_1,THR133,THR038,THR540,THR039,THR134,THR541,THR135,THR136,THR048,THR049,THR050,THR051,THR118_2,THR137,THR139,THR531,THR533,THR011_2,THR030_2,THR031_2,THR037_2,THR126_2,THR127_2,THR528_2,THR536_2,THR123,THR138
Sample Name,NO45,NO46,NO47,NO53,NO03,NO18,NO19,NO34,THR100,THR101,THR102,THR103,THR104,THR107,THR110,THR118_1,THR524,THR525,THR529,THR530,THR532,THR534,THR535,THR542,THR020,THR021,THR023,THR106,THR500,THR111,THR522,THR117,THR025,THR523,THR027,THR120,THR526,THR028,THR124,THR527,THR029,THR030_1,THR125,THR031_1,THR528_1,THR126_1,THR127_1,THR536_1,THR032,THR033,THR537,THR128,THR129,THR538,THR130,THR035,THR011_1,THR539,THR026,THR131,THR132,THR036,THR037_1,THR133,THR038,THR540,THR039,THR134,THR541,THR135,THR136,THR048,THR049,THR050,THR051,THR118_2,THR137,THR139,THR531,THR533,THR011_2,THR030_2,THR031_2,THR037_2,THR126_2,THR127_2,THR528_2,THR536_2,THR123,THR138
Grouping,NO,NO,NO,NO,NO,NO,NO,NO,ET,ET,ET,ET,ET,ET,ET,ET,RT,RT,RT,RT,RT,RT,RT,RT,NO,NO,NO,ET,RT,ET,RT,ET,NO,RT,NO,ET,RT,NO,ET,RT,NO,NO,ET,NO,RT,ET,ET,RT,NO,NO,RT,ET,ET,RT,ET,NO,NO,RT,NO,ET,ET,NO,NO,ET,NO,RT,NO,ET,RT,ET,ET,NO,NO,NO,NO,ET,ET,ET,RT,RT,NO,NO,NO,NO,ET,ET,RT,RT,ET,ET
hsa-miR-621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-377*,4.612376,1.8959424,2.9058783,2.5309172,3.5865364,4.899509,4.438938,3.147463,7.1148047,5.9038844,2.9659762,4.301258,6.675576,5.7617664,4.6232934,6.62608,0,4.402238,3.2656949,4.710509,3.065927,3.2196565,5.27669,3.6650405,3.8181858,4.3437915,5.6440983,4.9929132,4.2252517,4.7420278,0,4.0881753,5.668397,3.8394053,5.637332,4.0351048,2.6738164,3.2726355,4.0139356,4.643077,2.933873,0,3.3622594,0,0,0,2.5562627,0,4.696155,2.3777874,4.456313,6.8578563,5.2128105,2.609391,3.6638682,5.448121,0,0,4.3234205,4.8220773,1.866631,6.3973613,0,3.5345848,0.06726694,4.6263223,3.9654331,4.781454,2.9269445,5.673336,2.9957197,2.0757794,2.3803165,2.7447941,4.7106414,6.2476845,4.0413833,5.3280716,5.673545,0,4.287524,2.9549687,4.5702443,4.0086303,4.928385,4.929417,1.7616554,3.9650085,0,2.3152125
hcmv-miR-US25-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7392431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4418234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-641,2.8755717,2.779743,0.3256627,2.89117,3.7282255,3.5733018,3.3733282,3.691199,5.825796,5.6474557,2.3475182,3.9347618,6.222944,3.4742153,2.4125621,4.2194242,2.5801744,3.3625963,3.5476594,5.2599993,3.4222062,3.8669772,4.629065,4.0134535,3.4370677,1.8217632,5.063585,3.2421832,4.509784,4.7285733,2.048585,1.6450145,4.54553,3.3873487,4.1059046,3.4944284,4.4164076,3.6886055,3.712981,3.6325824,0,0,0,0,0,0,0,0,3.8204546,3.7920744,4.156,4.0126667,3.2842255,3.326307,4.113942,3.020824,0,2.362728,4.6769896,1.1591319,4.558555,2.3541954,0,3.3852103,0,4.1972914,3.3683913,3.7285736,3.4624844,2.8529255,3.044646,1.3593357,0,2.895326,4.0449886,3.982291,3.7646964,4.1798053,4.447771,2.1769164,4.6258726,4.7479405,5.0350957,0,4.247396,3.291782,0.38844302,3.419849,0,1.8568463
hsa-miR-548a-3p,0,0,0,0,0,0,0,0,0.12337486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4284854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-509-5p,0,0,0,0,0,0,0,0,0,0,0,0.19336805,0.60998183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-501-5p,2.591598,2.2595978,0.6151621,1.7137399,2.847614,2.1545863,2.2379675,3.0411572,2.9265442,2.5856164,1.3176397,2.639202,3.5265446,2.130598,2.6145613,2.4360445,2.009469,1.7257892,1.8711733,2.6389728,0.8694609,1.0318116,1.2813184,2.1252973,2.3053956,2.6981673,3.5843973,1.0253974,3.9035783,1.2774849,0.9515431,0,3.3157067,2.6000342,3.0666955,1.2269155,1.6718867,2.1280394,1.2007302,2.4161372,2.59245,0,2.7506514,0,2.8983786,0,0,0,2.623017,3.3519392,3.0603518,2.1648474,2.4710052,2.2124665,3.1311185,2.8656476,0,2.582963,3.110091,2.0668745,4.0724573,3.0263414,0,3.8208222,1.4362844,3.4180279,2.095813,2.3724368,2.106355,1.6416523,2.0192537,0.4886795,0.38557467,2.5171423,3.1330423,1.8351156,2.7093525,2.9565825,3.5695398,1.5073482,3.420132,3.7550797,4.079173,1.7734942,2.562511,2.6671133,3.6105347,2.8942413,0,0
hsa-miR-99b,7.6255994,7.7835484,6.6422567,7.12468,9.497688,9.26391,8.994743,9.109742,11.117954,11.054489,7.8179173,8.464313,8.318303,9.6534,8.5245495,6.6926923,8.893195,8.542452,7.999019,8.717343,9.055655,8.5706,9.42581,9.502796,8.293453,8.448657,10.272128,7.20181,10.45328,9.418138,9.243488,7.039522,10.444508,10.116383,10.280145,9.9433775,9.244537,8.781301,7.939514,9.478628,9.027719,6.4046073,7.2018886,4.9889393,6.456428,5.2985077,5.8871083,0,8.996651,8.524377,9.3798895,7.119605,8.715756,9.171107,9.992046,8.222602,0,8.84903,9.489631,8.423587,8.039824,10.060628,2.9291754,8.8872175,7.981613,9.770659,8.949244,7.7779393,9.048042,8.768009,8.935263,7.9160285,6.31147,8.03865,7.809337,6.15968,8.178426,9.154003,9.46851,8.141612,9.106961,9.237595,8.9438715,8.516472,7.668856,7.1802874,6.549255,8.252117,5.665077,6.13034
hsa-miR-1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-324-5p,10.228891,10.015276,5.30169,9.526409,10.946928,10.616623,10.730292,10.753099,11.272776,10.741248,8.84644,9.351383,10.475794,10.275414,9.402565,10.677993,10.576512,10.657363,10.595426,11.69367,10.403321,10.584483,11.050719,10.90828,9.623473,10.162064,10.762349,9.9782095,10.545071,10.912604,10.180543,9.270576,10.639177,11.303461,10.637359,10.174227,10.867101,10.705148,10.908873,10.834976,9.719974,3.1641605,8.573678,1.8567108,5.2011514,4.182589,5.4088817,0,10.762639,10.521797,11.584779,11.013651,10.434899,10.531137,11.14641,10.462737,0,9.838928,11.48899,9.458554,11.644429,9.072926,0,10.259343,8.091351,11.716377,9.367152,10.826501,10.270984,10.119149,10.1569805,9.114401,4.943326,10.571373,10.782884,10.311543,10.423515,11.448153,10.913256,10.225002,11.276264,11.646811,11.768652,8.707594,10.8491,10.494986,8.961488,10.548717,5.600448,8.59292
hsa-miR-339-3p,4.958309,4.5675273,1.987481,4.700911,5.8999777,4.794255,4.9773026,5.5689564,6.939838,5.8771257,3.4054205,5.401484,5.8241954,4.073949,4.838841,5.8301845,4.7937346,5.2147074,5.317438,6.376554,4.7756405,5.016523,5.581532,4.718466,5.3617897,4.92561,6.255501,4.867284,5.408763,5.085187,5.302513,4.3402987,5.9699335,6.02989,5.905512,4.5756574,5.384799,5.409527,5.255901,5.045819,5.5264225,0.6848367,4.4423795,0.3981533,0.9273732,0,0.57875514,6.2940564,6.0355377,5.843652,6.095853,5.575954,4.893896,4.718559,5.3712487,5.2785945,1.2419683,4.4871902,6.2249913,4.5997343,5.632184,5.2368293,0,5.23018,3.3201237,6.2113786,5.637523,5.3252172,4.7867947,4.5340614,4.9211364,4.498934,0.23746586,5.141343,5.5261817,5.4489737,4.814335,5.62763,5.953875,4.605998,6.3604536,6.128178,6.2204537,4.754209,3.9633076,4.460435,3.357003,4.376096,2.2277133,4.3958855
